T. Romo,304,435,3705,34,9
D. McNabb,180,316,2647,18,6
T. Brady,373,582,4109,33,9
P. Manning,395,597,4727,39,15
A. Rodgers,341,520,4381,38,5
D. Brees,456,659,4952,33,17
